Time (UTC+05:30),Clicks,Impressions,CTR,Position
2026-09-11T11:30:00,0,1,0%,50
2026-09-11T12:30:00,0,3,0%,43.3
2026-09-11T13:30:00,0,1,0%,47
2026-09-11T14:30:00,0,3,0%,34.3
2026-09-11T15:30:00,0,3,0%,67.7
2026-09-11T16:30:00,0,0,0%,0
2026-09-11T17:30:00,0,2,0%,66
2026-09-11T18:30:00,0,2,0%,51.5
2026-09-11T19:30:00,0,0,0%,0
2026-09-11T20:30:00,0,0,0%,0
2026-09-11T21:30:00,0,1,0%,7
2026-09-11T22:30:00,0,0,0%,0
2026-09-11T23:30:00,0,0,0%,0
2026-09-12T00:30:00,0,0,0%,0
2026-09-12T01:30:00,0,0,0%,0
2026-09-12T02:30:00,0,0,0%,0
2026-09-12T03:30:00,0,0,0%,0
2026-09-12T04:30:00,0,0,0%,0
2026-09-12T05:30:00,0,0,0%,0
2026-09-12T06:30:00,0,0,0%,0
2026-09-12T07:30:00,0,0,0%,0
2026-09-12T08:30:00,0,0,0%,0
2026-09-12T09:30:00,0,0,0%,0
2026-09-12T10:30:00,0,0,0%,0
