Date,Invalid,Valid,Impressions
2026-06-14,16,27,0
2026-06-15,16,27,0
2026-06-16,16,27,0
2026-06-17,16,27,0
2026-06-18,16,27,0
2026-06-19,16,27,0
2026-06-20,16,27,0
2026-06-21,16,27,0
2026-06-22,16,27,0
2026-06-23,16,27,0
2026-06-24,16,27,0
2026-06-25,16,27,0
2026-06-26,16,27,0
2026-06-27,16,27,0
2026-06-28,16,27,0
2026-06-29,16,27,0
2026-06-30,16,27,0
2026-07-01,16,27,0
2026-07-02,16,27,0
2026-07-03,16,27,0
2026-07-04,16,27,0
2026-07-05,16,27,0
2026-07-06,16,27,0
2026-07-07,16,27,0
2026-07-08,16,27,0
2026-07-09,16,27,0
2026-07-10,16,27,0
2026-07-11,16,27,0
2026-07-12,16,27,0
2026-07-13,16,27,0
2026-07-14,16,27,0
2026-07-15,16,24,0
2026-07-16,16,24,0
2026-07-17,16,27,0
2026-07-18,16,27,0
2026-07-19,16,27,0
2026-07-20,16,27,0
2026-07-21,16,27,0
2026-07-22,16,27,0
2026-07-23,16,27,0
2026-07-24,16,27,0
2026-07-25,16,27,0
2026-07-26,16,27,4
2026-07-27,16,27,0
2026-07-28,16,27,4
2026-07-29,16,27,0
2026-07-30,16,27,0
2026-07-31,16,27,0
2026-08-01,16,27,0
2026-08-02,16,27,0
2026-08-03,16,27,0
2026-08-04,16,27,0
2026-08-05,16,27,0
2026-08-06,16,27,0
2026-08-07,16,27,0
2026-08-08,17,28,0
2026-08-09,17,28,0
2026-08-10,17,28,0
2026-08-11,17,28,0
2026-08-12,17,28,0
2026-08-13,17,28,0
2026-08-14,17,28,0
2026-08-15,17,28,0
2026-08-16,17,25,0
2026-08-17,17,25,0
2026-08-18,17,25,0
2026-08-19,17,25,0
2026-08-20,17,25,0
2026-08-21,17,25,0
2026-08-22,17,28,0
2026-08-23,17,28,0
2026-08-24,17,28,0
2026-08-25,17,28,0
2026-08-26,17,28,0
2026-08-27,17,28,0
2026-08-28,17,28,0
2026-08-29,17,28,0
2026-08-30,17,28,0
2026-08-31,17,28,4
2026-09-01,17,28,0
2026-09-02,16,27,0
2026-09-03,17,28,0
2026-09-04,17,28,0
2026-09-05,17,28,0
2026-09-06,17,28,0
2026-09-07,16,27,0
2026-09-08,16,27,3
2026-09-09,16,27,0
2026-09-10,16,27,
2026-09-11,16,27,
